"Directory","FileCount","ProposedAuthority","ExecutionStatus","Reason","ProposedActions","RiskLevels","TargetZones","ExampleFiles","HumanDecision","HumanNotes"
"C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem","2","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AlgoTradez_IncidentReport_2026-05-01.csv | CONFUSION(APPS GONE)WORNG ORDER.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\DAILY_CONTEXT_PACK","2","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_DOCS","LOW","AI_OS_DOCS","00_AI_OS_DAILY_CONTEXT_PROMPT.txt | README_DAILY_CONTEXT_PACK_USE_CASE.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\public","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","favicon.svg | icons.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\control","2","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","AI-OS_MORNING_EXECUTION_PACKET.md | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\internal\source-artifacts\pdf","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","READme.pdf | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\inputs","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","README.md | whitepaper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","READme.pdf | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","README.md | whitepaper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","DESKTOP_WORKING_COPY | WINDOWS_METADATA","deploy.zip | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","favicon.svg | icons.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\inputs","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","README.md | whitepaper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\public","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","favicon.svg | icons.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\internal\source-artifacts\pdf","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","READme.pdf | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\internal\source-artifacts\txt","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","folderUse.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","DELETE_CANDIDATE_AFTER_BACKUP","LOW","WINDOWS_METADATA","desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AAR_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AGENTS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS\architecture","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","SYSTEM_LEVEL_AI_WIZARDS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS","1","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_DOCS","LOW","AI_OS_DOCS","AGENTS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\architecture","1","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_DOCS","LOW","AI_OS_DOCS","SYSTEM_LEVEL_AI_WIZARDS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\SITREP","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","SITREP_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS\architecture","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","SYSTEM_LEVEL_AI_WIZARDS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","AGENTS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\Reports","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","README_REPORTS_POLICY.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\Reports\daily","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","CODEX_REPO_MISMATCH_2026-05-04.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\internal\source-artifacts\txt","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","folderUse.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\agent\runtime","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\control\EOD prompt","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AI-OS_EOD_PROMPT.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\control\MarkDown","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","README[5.2.26].md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\automation\pipeline","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\backups","1","ARCHIVE_OR_BACKUP_CANDIDATE","BLOCK_UNTIL_ARCHIVE_APPROVAL","Folder path suggests backup/archive/older material.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","TradingEngineV1.zip","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\control\AAR","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AAR_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\automation\pipeline","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\Tasks","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AI-OS_PROJECT_TASKS.csv","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","SITREP_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\tools\powershell","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_PROJECT_FILE","MEDIUM","ACTIVE_PROJECT_ROOT","RUN_SYSTEM_WIZARD_V0_1.ps1","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","TradingEngineV1.zip","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AAR_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","README[5.2.26].md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AI-OS_EOD_PROMPT.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","folderUse.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_PRIVATE_DO_NOT_UPLOAD","HIGH","SECRETS_CONFIG","config","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\tools\python","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_PROJECT_FILE","MEDIUM","ACTIVE_PROJECT_ROOT","create_folder_purpose_notes.py","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\.azure","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_PRIVATE_DO_NOT_UPLOAD","HIGH","SECRETS_CONFIG","config","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\templates","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_TRADING_ENGINE","HIGH","TRADING_ENGINE_V1","dashboard.html","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AlgoTradez-PostMortems","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_TO_AI_OS_PROJECT","MEDIUM","DESKTOP_LOOSE_AI_OS","AI-OS_MASTER_GUIDELINES.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\scripts","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_PROJECT_FILE","MEDIUM","ACTIVE_PROJECT_ROOT","Ai_Os_Reorganize.ps1","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","dashboard.html","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Documents","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_TO_INBOX","LOW","DOCUMENTS_AI_OS","AlgoTradez_AI-OS_Roadmap_1(in).xlsx","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\prompts","1","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_DOCS","LOW","AI_OS_DOCS","CREATE_INCIDENT_REPORT_PROMPT.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\agent\runtime","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\supervisor","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_REPORT_ARCHIVE","LOW","REPORTS_DAILY","AI_OS_SUPERVISOR_REPORT_2026-05-04.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","DASHBOARD_FIXES.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","SITREP_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\src\ai_os\system_wizard","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_PROJECT_FILE","MEDIUM","ACTIVE_PROJECT_ROOT","system_wizard_v0_1.py","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","Ai_Os_Reorganize.ps1","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\scripts\Deployable PS1","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_PROJECT_FILE","MEDIUM","ACTIVE_PROJECT_ROOT","deploy_readme.ps1","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_PRIVATE_DO_NOT_UPLOAD","HIGH","SECRETS_CONFIG","config","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","deploy_readme.ps1","PENDING_REVIEW",""
