"HumanDecision","AllowedDecisions","Directory","FileCount","RepoStatus","DetectedGitRoot","ProposedAuthority","ExecutionStatus","Reason","ExampleFiles","HumanNotes"
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS\system_wizards","9","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS\system_wizards","9","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard","7","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.",".gitignore | eslint.config.js | index.html | package.json | package-lock.json",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard","7","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.",".gitignore | eslint.config.js | index.html | package.json | package-lock.json",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","5","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.",".gitignore | AGENTS.md | desktop.ini | project.manifest.json | README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","4","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.",".gitignore | AGENTS.md | project.manifest.json | README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\services\orchestrator","4","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","index.js | package.json | package-lock.json | README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\src","4","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","App.css | App.jsx | index.css | main.jsx",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\services\orchestrator","4","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","index.js | package.json | package-lock.json | README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\src","4","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","App.css | App.jsx | index.css | main.jsx",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\specs","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","api-contract.md | automation-pipeline.md | ui-spec.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\src\assets","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","hero.png | react.svg | vite.svg",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","AI_OS_White_Paper.md | AI-OS_MASTER_GUIDELINES.md | White_Paper.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\Reports\daily","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","AI_OS_LOCAL_INVENTORY_2026-05-04.txt | CODEX_REPO_MISMATCH_2026-05-04.md | GITHUB_REPO_INVENTORY_2026-05-04.txt",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\specs","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","api-contract.md | automation-pipeline.md | ui-spec.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","AI_OS_White_Paper.md | AI-OS_MASTER_GUIDELINES.md | White_Paper.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\src\assets","3","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","hero.png | react.svg | vite.svg",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\public","2","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","favicon.svg | icons.svg",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\internal\source-artifacts\pdf","2","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","READme.pdf | whitepaper.pdf",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\inputs","2","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README.md | whitepaper.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\inputs","2","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README.md | whitepaper.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\public","2","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","favicon.svg | icons.svg",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\internal\source-artifacts\pdf","2","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","READme.pdf | whitepaper.pdf",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\internal\source-artifacts\txt","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","folderUse.txt",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","AGENTS.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS\architecture","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","SYSTEM_LEVEL_AI_WIZARDS.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS\architecture","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","SYSTEM_LEVEL_AI_WIZARDS.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","AGENTS.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\Reports","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README_REPORTS_POLICY.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\Reports\daily","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","CODEX_REPO_MISMATCH_2026-05-04.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\internal\source-artifacts\txt","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","folderUse.txt",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\agent\runtime","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\automation\pipeline","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\automation\pipeline","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README.md",""
"HOLD","HOLD | APPROVE_AS_ACTIVE_CODEX_REPO | KEEP_READ_ONLY | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\agent\runtime","1","CONFIRMED_GIT_REPO_PRESENT","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","README.md",""
