"HumanDecision","AllowedDecisions","DuplicateDirectory","DuplicateFileCount","DuplicateAuthority","RepoMatchType","MatchedRepoRoot","ProposedAction","SafetyStatus","Reason","HumanNotes"
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","7","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","6","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs","5","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale","5","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","4","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1","4","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src","4","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot","3","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs","3","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML","3","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey","3","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets","3","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem","2","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control","2","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","2","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs","2","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os","2","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public","2","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
"HOLD","HOLD | KEEP_REPO | ARCHIVE_DUPLICATE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1","1","DUPLICATE_WORKING_COPY_REVIEW","NO_DIRECT_REPO_MATCH","","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_MERGE_NO_GIT","Compare duplicate/parallel working copy against confirmed repo candidates before any action.",""
