"HumanDecision","AllowedDecisions","DuplicateDirectory","DuplicateFileCount","RepoMatchType","MatchedRepoRoot","ProposedResolution","ExecutionStatus","Reason","SafetyStatus","HumanNotes"
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","7","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","6","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs","5","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale","5","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","4","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1","4","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src","4","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot","3","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs","3","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML","3","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey","3","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets","3","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem","2","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control","2","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","2","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs","2","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os","2","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public","2","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1","1","NO_DIRECT_REPO_MATCH","","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.","NO_MOVE_NO_DELETE_NO_MERGE_NO_RENAME",""
