"ItemPath","Extension","Count"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".js","2259"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".ts","607"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".map","433"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".json","194"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".md","167"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","[no extension]","156"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".cts","141"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".cjs","130"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".mjs","49"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".mts","48"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".flow","36"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".jst","25"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".ps1","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".cmd","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".yml","12"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".def","5"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".txt","4"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".svg","4"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".markdown","3"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".css","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","[no extension]","34"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".sample","14"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".txt","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".py","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".pyc","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".html","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".gitignore","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".env","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs",".md","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs",".csv","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs",".ini","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale",".json","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale",".py","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale",".jpg","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale",".zip","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","[no extension]","34"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".sample","14"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".md","10"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".csv","7"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".txt","5"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".ini","4"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".py","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".html","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".zip","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".ps1","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".json","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".xlsx","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".jpg","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".env","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".adoc","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".gitignore","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026",".pyc","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1",".xlsx","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1",".csv","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src",".svg","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src",".jsx","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src",".css","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src",".png","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot",".py","3"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot",".pyc","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs",".md","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML",".html","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML",".ini","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey",".txt","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey",".adoc","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets",".svg","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets",".png","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem",".txt","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem",".csv","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control",".md","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control",".ini","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf",".pdf","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs",".md","2"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".js","2259"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".ts","607"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".map","433"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os","[no extension]","340"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".json","194"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".md","174"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".cts","141"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".cjs","130"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".mjs","49"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".mts","48"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".flow","36"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".jst","25"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".sample","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".cmd","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".ps1","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".yml","12"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".txt","5"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".def","5"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".py","4"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os",".svg","4"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public",".svg","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR",".md","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP",".md","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups",".zip","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR",".md","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown",".md","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt",".md","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt",".txt","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime",".md","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline",".md","1"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure","[no extension]","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates",".html","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges",".md","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP",".md","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts",".ps1","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure","[no extension]","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1",".ps1","1"
"C:\Users\mylab\OneDrive\AI-OS-Project\backups",".zip","1"
