"Term","FileName","LineNumber","LineText","FullPath"
"UCI","AGENTS.md","113","HALLUCINATION\_LOG.md","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md"
"UCI","AGENTS.md","137","HALLUCINATION\_LOG.md = suspected wrong claims","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md"
"UCI","AGENTS.md","237","HALLUCINATION\_LOG.md","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md"
"UCI","AIOS_Controlled_Migration_Final_Verify_v1.ps1","58","""13_HALLUCINATION_LOG""","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Controlled_Migration_Final_Verify_v1.ps1"
"UCI","AIOS_Inventory_Only_v1.ps1","41","""HALLUCINATION_LOG"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Inventory_Only_v1.ps1"
"UCI","AIOS_Stage5_Create_Rules_ContextPack_v1.ps1","111","- Preserve README, AGENTS, RISK_POLICY, SOURCE_LOG, ERROR_LOG, HALLUCINATION_LOG, AAR, DAILY_REPORT, and CURRENT_STATE distinctions.","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage5_Create_Rules_ContextPack_v1.ps1"
"University of California","AIOS_UCI_Text_Search_Report_v1.ps1","24","""University of California"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Irvine","AIOS_UCI_Text_Search_Report_v1.ps1","25","""Irvine"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Student Health Insurance","AIOS_UCI_Text_Search_Report_v1.ps1","2","# Purpose: Search the AI-OS project for unexpected UCI / student health insurance wording.","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Student Health Insurance","AIOS_UCI_Text_Search_Report_v1.ps1","26","""Student Health Insurance"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Student Health Insurance","AIOS_UCI_Text_Search_Report_v1.ps1","49","Write-Host ""AI_OS UCI / STUDENT HEALTH INSURANCE TEXT SEARCH""","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Student Health Insurance","AIOS_UCI_Text_Search_Report_v1.ps1","92","$Md.Add(""# AI_OS UCI / Student Health Insurance Text Search"")","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Student Health Insurance","AIOS_UCI_Text_Search_Report_v1.ps1","115","$Md.Add(""Interpretation: the UCI / student health insurance wording seen in the screenshot is not present in the AI-OS project text files covered by this scan."")","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Schedule of Benefits","AIOS_UCI_Text_Search_Report_v1.ps1","27","""Schedule of Benefits"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Covered Medical Expenses","AIOS_UCI_Text_Search_Report_v1.ps1","28","""Covered Medical Expenses"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"Wellfleet","AIOS_UCI_Text_Search_Report_v1.ps1","29","""Wellfleet"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UC SHIP","AIOS_UCI_Text_Search_Report_v1.ps1","30","""UC SHIP"",","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","1","# AIOS_UCI_Text_Search_Report_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","2","# Purpose: Search the AI-OS project for unexpected UCI / student health insurance wording.","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","4","# C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","20","$CsvReport = Join-Path $ReportFolder ""AIOS_uci_text_search_$Timestamp.csv""","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","21","$MdReport = Join-Path $ReportFolder ""AIOS_uci_text_search_$Timestamp.md""","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","31","""UCI""","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","49","Write-Host ""AI_OS UCI / STUDENT HEALTH INSURANCE TEXT SEARCH""","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","92","$Md.Add(""# AI_OS UCI / Student Health Insurance Text Search"")","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AIOS_UCI_Text_Search_Report_v1.ps1","115","$Md.Add(""Interpretation: the UCI / student health insurance wording seen in the screenshot is not present in the AI-OS project text files covered by this scan."")","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_UCI_Text_Search_Report_v1.ps1"
"UCI","AI-OS_EOD_PROMPT.md","106","\## Hallucination / Assumption Check","C:\Users\mylab\OneDrive\AI-OS-Project\control\EOD prompt\AI-OS_EOD_PROMPT.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","47","**Why:** Vague prompts = AI loops, redundant outputs, hallucinations","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","75","AVOID: [Common mistakes, hallucinations to prevent]","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","81","**Decision Logging = Prevents hallucinations + accountability**","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","320","## PART 5: PREVENTING AI HALLUCINATIONS IN TRADING CONTEXT","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","339","logger.error(f""HALLUCINATION DETECTED: Invalid signal schema {signal}"")","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","355","**AI can't hallucinate a trade with low confluence.**","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","374","**Hash prevents tampering; audit trail prevents hallucination claims.**","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_MASTER_GUIDELINES.md","442","3. ✅ **Decision logging** (prevents hallucinations + audits)","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md"
"UCI","AI-OS_PROJECT_PARAMETERS.csv","23","Set up schema validation in Trading Bot,1.5,MEDIUM,Not Started,2026-05-09,#22,Tony,""Reject invalid signals, log hallucination attempts""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_PROJECT_PARAMETERS.csv"
"UCI","White_Paper.md","712","**Q: How do we prevent hallucinating bad trades?**","C:\Users\mylab\OneDrive\AI-OS-Project\docs\White_Paper.md"
"UCI","CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt","18","- AI hallucination based on incomplete evidence","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES\CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt"
"UCI","CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt","52","Used after generating inventory, daily, error, source, AAR, or hallucination reports.","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES\CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt"
"UCI","CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt","161","11. Log suspected AI false claims in HALLUCINATION_LOG.md.","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES\CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt"
"UCI","DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt","13","10. Where this should be logged: ERROR_LOG.md, SOURCE_LOG.md, HALLUCINATION_LOG.md, DAILY_REPORT.md, or AAR.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES\DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt"
"UCI","HALLUCINATION_PREVENTION_RULES.txt","1","AI_OS HALLUCINATION PREVENTION RULES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES\HALLUCINATION_PREVENTION_RULES.txt"
"UCI","00_AI_OS_DAILY_CONTEXT_PROMPT.txt","29","- HALLUCINATION_LOG.md = suspected wrong claims","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK\00_AI_OS_DAILY_CONTEXT_PROMPT.txt"
"UCI","00_AI_OS_DAILY_CONTEXT_PROMPT.txt","34","- docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK\00_AI_OS_DAILY_CONTEXT_PROMPT.txt"
"UCI","00_UPLOAD_FIRST_AI_OS_STARTUP_PROMPT.md","19","- Preserve README, AGENTS, RISK_POLICY, SOURCE_LOG, ERROR_LOG, HALLUCINATION_LOG, AAR, DAILY_REPORT, and CURRENT_STATE distinctions.","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK\00_UPLOAD_FIRST_AI_OS_STARTUP_PROMPT.md"
"UCI","CREATE_INCIDENT_REPORT_PROMPT.txt","25","- HALLUCINATION_LOG.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK\CREATE_INCIDENT_REPORT_PROMPT.txt"
"UCI","AIOS_inventory_2026-05-04_16-21-31.csv","42","""HALLUCINATION_PREVENTION_RULES.txt"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"","".txt"",""0.64"",""5/3/2026 5:37:28 PM"",""5/3/2026 5:55:10 PM"",""AI_OS; AI-OS"",""REVIEW_ONLY"",""NO_MOVE_NO_DELETE_NO_EDIT""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_INVENTORY\AIOS_inventory_2026-05-04_16-21-31.csv"
"UCI","AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv","42","HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies,.txt,0.64,5/3/2026 5:37:28 PM,5/3/2026 5:55:10 PM,AI_OS; AI-OS,REVIEW_ONLY,NO_MOVE_NO_DELETE_NO_EDIT,KEEP_ACTIVE_DOCS,AI_OS_DOCS,LOW,,Active AI_OS documentation tree.,NO_ACTION_NOW","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_INVENTORY\AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv"
"UCI","AIOS_SCAFFOLD_BLUEPRINT_2026-05-04_18-41-57.md","32","│       ├── 13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_SCAFFOLD_BLUEPRINT\AIOS_SCAFFOLD_BLUEPRINT_2026-05-04_18-41-57.md"
"UCI","AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv","42","HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies,.txt,0.64,5/3/2026 5:37:28 PM,5/3/2026 5:55:10 PM,AI_OS; AI-OS,REVIEW_ONLY,NO_MOVE_NO_DELETE_NO_EDIT,KEEP_ACTIVE_DOCS,AI_OS_DOCS,LOW,,Active AI_OS documentation tree.,NO_ACTION_NOW","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\05_CLASSIFICATION\AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv"
"UCI","01_PHASE2_FOLDER_DECISION_WORKSHEET.csv","45","""HOLD"",""HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"",""3"",""ACTIVE_AI_OS_CONTROL_TREE"",""KEEP_NO_ACTION"",""Inside controlled docs\AI_OS tree."",""KEEP_ACTIVE_DOCS"",""LOW"",""AI_OS_DOCS"",""CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt | DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt | HALLUCINATION_PREVENTION_RULES.txt"",""""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\06_APPROVALS\STAGE16_PHASE2_FOLDER_DECISION_PACKET_2026-05-04_17-06-43\01_PHASE2_FOLDER_DECISION_WORKSHEET.csv"
"UCI","02_SAFE_KEEP_NO_ACTION.csv","4","""HOLD"",""HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"",""3"",""ACTIVE_AI_OS_CONTROL_TREE"",""KEEP_NO_ACTION"",""Inside controlled docs\AI_OS tree."",""KEEP_ACTIVE_DOCS"",""LOW"",""AI_OS_DOCS"",""CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt | DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt | HALLUCINATION_PREVENTION_RULES.txt"",""""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\06_APPROVALS\STAGE16_PHASE2_FOLDER_DECISION_PACKET_2026-05-04_17-06-43\02_SAFE_KEEP_NO_ACTION.csv"
"UCI","01_FULL_FOLDER_AUTHORITY_MAP.csv","45","""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"",""3"",""ACTIVE_AI_OS_CONTROL_TREE"",""KEEP_NO_ACTION"",""Inside controlled docs\AI_OS tree."",""KEEP_ACTIVE_DOCS"",""LOW"",""AI_OS_DOCS"",""CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt | DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt | HALLUCINATION_PREVENTION_RULES.txt"",""PENDING_REVIEW"",""""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS\STAGE14_FULL_FOLDER_AUTHORITY_REBUILD_2026-05-04_17-01-52\01_FULL_FOLDER_AUTHORITY_MAP.csv"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.csv","17","""REQUIRED_FOLDER"",""13_HALLUCINATION_LOG"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG"",""True"",""0"",""0"",""OK"",""Required AI_OS scaffold folder.""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.csv"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md","149","### REQUIRED_FOLDER - 13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md","154","- Path: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.csv","17","""REQUIRED_FOLDER"",""13_HALLUCINATION_LOG"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG"",""True"",""0"",""0"",""OK"",""Required AI_OS scaffold folder.""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.csv"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md","149","### REQUIRED_FOLDER - 13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md","154","- Path: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md"
"UCI","AIOS_inventory_2026-05-04_16-21-31.csv","42","""HALLUCINATION_PREVENTION_RULES.txt"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"","".txt"",""0.64"",""5/3/2026 5:37:28 PM"",""5/3/2026 5:55:10 PM"",""AI_OS; AI-OS"",""REVIEW_ONLY"",""NO_MOVE_NO_DELETE_NO_EDIT""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\inventory\AIOS_inventory_2026-05-04_16-21-31.csv"
"UCI","AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv","42","HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies,.txt,0.64,5/3/2026 5:37:28 PM,5/3/2026 5:55:10 PM,AI_OS; AI-OS,REVIEW_ONLY,NO_MOVE_NO_DELETE_NO_EDIT,KEEP_ACTIVE_DOCS,AI_OS_DOCS,LOW,,Active AI_OS documentation tree.,NO_ACTION_NOW","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\inventory\AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv"
"UCI","AI_OS_FOLDER_NOTE_AUTOMATION_SPEC.txt","73","5. Never edit README.md, AGENTS.md, RISK_POLICY.md, SOURCE_LOG.md, ERROR_LOG.md, HALLUCINATION_LOG.md, AAR.md, DAILY_REPORT.md, or White_Paper.md without backup.","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\system_wizards\AI_OS_FOLDER_NOTE_AUTOMATION_SPEC.txt"
"UCI","AI_OS_LOCAL_INVENTORY_2026-05-04.txt","155","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\AI_OS_LOCAL_INVENTORY_2026-05-04.txt"
"UCI","AI_OS_REPO_ALIGNMENT_PLAN_2026-05-04.txt","31","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\AI_OS_REPO_ALIGNMENT_PLAN_2026-05-04.txt"
"UCI","README_DAILY_REPORTS_FOLDER.txt","13","- Hallucination or assumption checks","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\README_DAILY_REPORTS_FOLDER.txt"
"UCI","AI-OS_PROJECT_TASKS.csv","23","Set up schema validation in Trading Bot,1.5,MEDIUM,Not Started,5/9/2026,#22,Tony,""Reject invalid signals, log hallucination attempts""","C:\Users\mylab\OneDrive\AI-OS-Project\Tasks\AI-OS_PROJECT_TASKS.csv"
